,開始時間,執行時間,成功,超過1秒
0,19:32:00,1.15971,1,1
1,19:32:00,1.33704,1,1
2,19:32:00,1.15032,1,1
3,19:32:00,1.14259,1,1
4,19:32:00,1.1481,1,1
5,19:32:00,1.14921,1,1
6,19:32:00,1.15513,1,1
7,19:32:00,1.15536,1,1
8,19:32:00,1.13955,1,1
9,19:32:00,1.13751,1,1
0,19:44:55,0.7425,1,0
1,19:44:55,0.74956,1,0
2,19:44:55,0.74024,1,0
3,19:44:55,0.73845,1,0
4,19:44:55,0.73863,1,0
5,19:44:55,0.74228,1,0
0,19:56:57,0.76733,1,0
1,19:56:57,0.76885,1,0
2,19:56:57,0.7591,1,0
3,19:56:57,0.75765,1,0
4,19:56:57,0.75801,1,0
5,19:56:57,0.75662,1,0
6,19:56:57,0.94631,1,0
7,19:56:57,0.75456,1,0
8,19:56:57,0.75461,1,0
9,19:56:57,0.75621,1,0
10,19:56:57,0.74014,1,0
11,19:56:57,0.76045,1,0
12,19:56:57,0.74051,1,0
13,19:56:57,0.74434,1,0
14,19:56:57,0.93681,1,0
15,19:56:57,0.73373,1,0
16,19:56:57,0.74447,1,0
17,19:56:57,0.75462,1,0
18,19:56:57,0.74152,1,0
19,19:56:57,0.74247,1,0
